label,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
metal,Black Veil Brides,0.252,0.957,1,-2.318,0,0.473,0.00268,4.51e-4,0.0834,0.192,187.853,199788,4
metal,Thousand Thoughts,0.419,0.917,8,-4.822,1,0.0676,7.61e-4,0,0.118,0.461,169.989,229047,4
metal,Demon King,0.256,0.961,5,-4.055,1,0.18,2.5e-5,0.817,0.119,0.171,115.929,304421,4
metal,Lacuna Coil,0.503,0.667,11,-6.831,0,0.0285,9.84e-4,0.027,0.229,0.101,113.018,245573,4
metal,The Acacia Strain,0.523,0.982,0,-4.795,1,0.0962,3.47e-5,0.00126,0.095,0.123,121.994,277324,4
metal,Liquid Tension Experiment,0.414,0.945,9,-4.66,1,0.0897,3.33e-4,0.479,0.314,0.565,145.014,396067,4
metal,Soulspell,0.516,0.858,8,-4.1,1,0.0402,4.57e-4,0.00353,0.12,0.142,91.002,303640,4
metal,Frost*,0.402,0.71,9,-6.215,1,0.046,4.11e-4,0.00114,0.149,0.243,124.922,380920,4
metal,Epica,0.472,0.88,7,-7.691,1,0.0525,8.48e-4,0.00101,0.19,0.387,139.84,337059,4
metal,Wizardthrone,0.213,0.979,0,-6.501,1,0.156,2.55e-6,0.548,0.338,0.145,94.963,297453,4
metal,AVOID,0.449,0.981,8,-1.626,1,0.0993,0.00189,1.48e-5,0.0818,0.575,170.969,195916,4
metal,Defocus,0.438,0.992,1,-3.754,1,0.135,1.03e-4,2.36e-6,0.441,0.129,104.953,197040,4
metal,Bury Tomorrow,0.393,0.81,11,-5.003,1,0.0509,1.37e-5,4.39e-6,0.263,0.261,144.958,218907,4
metal,Osi And The Jupiter,0.314,0.311,9,-8.601,0,0.0333,0.871,0.516,0.12,0.175,122.424,239049,3
metal,The Ocean,0.562,0.782,7,-7.815,1,0.0579,0.0166,0.0213,0.0628,0.181,109.99,804933,3
metal,Devin Townsend,0.536,0.841,9,-9.336,1,0.0912,0.00112,0.0233,0.645,0.216,128.04,365861,4
metal,Deaf Rat,0.527,0.971,5,-4.153,0,0.0486,2.74e-5,3.66e-5,0.0866,0.325,123.993,246587,4
metal,Lightning Born,0.526,0.754,8,-5.58,1,0.0665,0.0445,0.0354,0.282,0.382,125.894,275067,4
metal,Gama Bomb,0.576,0.974,6,-4.244,0,0.12,0.00127,0.00434,0.116,0.343,106.472,151935,4
metal,Bonded,0.496,0.984,11,-3.899,0,0.136,3.41e-5,3.35e-4,0.368,0.247,107.48,252840,4
metal,Writing The Future,0.474,0.992,1,-3.434,0,0.115,1.69e-4,1.22e-5,0.0849,0.521,155.038,223477,4
metal,Danheim,0.564,0.63,11,-11.022,0,0.0668,0.107,0.897,0.0854,0.31,184.206,260557,4
metal,Metallica,0.527,0.907,8,-5.772,1,0.0377,8.39e-5,0.00755,0.0891,0.364,112.089,329760,4
metal,Sabaton,0.483,0.988,0,-4.835,1,0.0794,4.55e-4,0.0133,0.143,0.199,109.986,248992,4
metal,Spirit Adrift,0.254,0.929,1,-6.652,0,0.0527,6.77e-6,0.625,0.176,0.563,140.271,282880,4
metal,Pantera,0.283,0.847,9,-6.97,1,0.0544,5.03e-4,0.00199,0.149,0.389,145.905,423013,4
metal,Incubus,0.429,0.978,11,-4.88,1,0.126,2.27e-4,6.81e-6,0.0583,0.43,121.651,191360,4
metal,Quiet Riot,0.409,0.92,11,-5.439,0,0.12,0.00719,0.00105,0.0823,0.37,145.085,290960,4
metal,LANDMVRKS,0.247,0.981,7,-3.973,1,0.0964,9.38e-5,2.64e-5,0.398,0.193,136.611,194502,4
metal,Korn,0.498,0.946,2,-4.793,1,0.0602,1.21e-4,2.56e-5,0.359,0.31,106.275,213000,4
metal,Stephen Taranto,0.373,0.964,11,-7.925,0,0.0798,1.52e-4,0.791,0.109,0.207,83.958,312363,4
metal,Ignea,0.311,0.988,7,-3.397,1,0.113,2.83e-5,0.13,0.132,0.269,195.058,279692,3
metal,The Gathering,0.228,0.85,0,-6.23,1,0.0489,0.00223,0.00136,0.056,0.391,130.566,364693,4
metal,Deathbeds AU,0.396,0.968,3,-4.322,1,0.131,5.49e-5,0.494,0.263,0.178,161.021,212143,4
metal,The HU,0.624,0.857,10,-6.25,0,0.0542,0.0208,0.206,0.11,0.324,131.926,282920,4
metal,Devin Townsend,0.466,0.143,0,-16.497,0,0.0347,0.892,0.318,0.126,0.117,140.462,266934,1
metal,Ov Sulfur,0.454,0.993,6,-2.521,1,0.205,0.00104,3.15e-4,0.36,0.149,130.032,200308,3
metal,The Curse Within,0.475,0.992,0,-4.986,0,0.205,8.27e-6,0.822,0.12,0.0655,97.514,277000,4
metal,Within The Ruins,0.412,0.995,5,-2.851,0,0.216,9.19e-5,0.00126,0.344,0.0936,145.02,275875,4
metal,Within Temptation,0.477,0.905,5,-3.892,0,0.0689,7.12e-5,5.17e-4,0.0959,0.493,93.998,256467,4
metal,Avenged Sevenfold,0.448,0.661,6,-7.293,1,0.0311,4.15e-4,6.42e-5,0.0499,0.213,139.983,381201,4
metal,August Burns Red,0.201,0.977,11,-5.218,1,0.278,9.27e-6,0.015,0.0969,0.0512,134.192,277693,4
metal,Bodysnatcher,0.301,0.921,1,-3.689,1,0.153,5.1e-4,0.0059,0.0626,0.165,100.662,235239,4
metal,Bring Me The Horizon,0.295,0.924,5,-3.407,1,0.0678,4.02e-5,0.00462,0.377,0.219,171.941,239387,4
metal,Neverland In Ashes,0.367,0.96,7,-5.078,1,0.104,9.37e-5,0.00104,0.485,0.102,195.045,233841,4
metal,Megaton Sword,0.515,0.925,6,-6.146,0,0.0453,3.77e-4,0.133,0.142,0.411,140.109,390870,4
metal,Angelus Apatrida,0.471,0.983,8,-3.092,1,0.0814,6.59e-6,0.173,0.35,0.336,92.489,365867,4
metal,Bathory,0.232,0.931,9,-8.804,1,0.0808,0.00413,0.756,0.0927,0.0371,122.684,516267,4
metal,Lamb of God,0.366,0.956,10,-3.725,0,0.108,2.93e-4,0.00447,0.449,0.159,104.016,230127,3
metal,Tribulation,0.356,0.937,5,-7.185,0,0.0614,0.00221,0.331,0.149,0.212,145.908,294547,4
metal,Deep Purple,0.598,0.676,0,-9.211,1,0.0279,0.13,0.225,0.112,0.805,114.169,340742,4
metal,Kill the Kong,0.474,0.984,6,-3.169,1,0.113,3.01e-4,0,0.106,0.372,95.025,211579,4
metal,In Flames,0.503,0.968,10,-2.665,0,0.057,2.58e-5,0.35,0.0962,0.379,110.022,210646,4
metal,Slayer,0.263,0.97,5,-4.182,0,0.163,0.00338,7.95e-4,0.0922,0.17,151.729,397827,4
metal,Allen/Olzon,0.45,0.941,7,-5.657,0,0.062,4.58e-4,1.11e-4,0.0679,0.154,90.03,347347,4
metal,Within Destruction,0.287,0.991,10,-0.645,0,0.123,0.00657,0.00489,0.368,0.108,159.831,199747,4
metal,Heathen,0.476,0.987,2,-3.684,1,0.115,1.33e-6,0.00783,0.316,0.116,104.972,278027,4
metal,Orchards,0.587,0.932,7,-4.697,1,0.0687,0.00257,0,0.0694,0.564,100.004,207882,4
metal,Every Time I Die,0.312,0.994,4,-4.38,0,0.0932,0.00966,0,0.126,0.409,150.387,172653,4
metal,SKÁLD,0.651,0.372,4,-13.259,0,0.0314,0.759,0.359,0.0738,0.167,139.024,200787,3
metal,Architects,0.433,0.863,3,-4.941,0,0.0565,0.00148,0.00342,0.0931,0.425,125.021,242407,4
metal,Sepultura,0.532,0.953,6,-4.09,1,0.102,1.13e-4,3.49e-5,0.118,0.416,137.036,182188,4
metal,Fu Manchu,0.292,0.927,7,-5.142,0,0.081,1.26e-4,0.0417,0.178,0.403,92.236,190800,4
metal,In Flames,0.418,0.835,0,-4.824,0,0.0449,2.33e-6,0.766,0.289,0.549,104.986,294867,4
metal,I,0.365,0.851,4,-6.238,0,0.0645,0.0964,0.003,0.237,0.309,78.086,171040,4
metal,Slayer,0.227,0.995,10,-4.361,0,0.173,4.05e-4,0.393,0.127,0.0363,87.499,255187,4
metal,Dorothy,0.22,0.848,10,-3.686,1,0.0501,0.0429,1.75e-4,0.142,0.389,121.948,253613,4
metal,Rob Zombie,0.514,0.955,0,-3.865,1,0.0857,4.34e-4,4.41e-5,0.461,0.463,138.024,208013,4
metal,My Dying Bride,0.335,0.829,3,-5.657,0,0.0398,5.31e-6,0.906,0.108,0.399,160.061,382154,4
metal,Testament,0.458,0.984,11,-4.294,1,0.15,6.44e-6,0.515,0.0678,0.381,155.055,273227,4
metal,Gojira,0.513,0.88,7,-4.69,0,0.0309,9.59e-5,0.00614,0.0824,0.495,92.358,269533,4
metal,Evergrey,0.512,0.875,9,-7.07,0,0.046,0.00161,1.02e-5,0.0957,0.497,137.014,349747,4
metal,Green Carnation,0.454,0.865,5,-7.9,1,0.0425,0.00252,0.0901,0.122,0.257,135.983,573989,3
metal,SKYND,0.532,0.788,5,-6.113,0,0.0451,3.5e-4,0.674,0.319,0.185,112.055,394286,4
metal,Skindred,0.456,0.955,0,-4.366,1,0.208,0.0606,0,0.891,0.551,191.615,208787,4
metal,Havok,0.446,0.987,8,-4.291,1,0.13,8.68e-6,0.779,0.0728,0.351,152.042,237424,4
